"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"bayestestR","bayestestR","C:/Users/romai/AppData/Local/R/win-library/4.2","0.12.1",NA,"R (>= 3.4)","insight (>= 0.17.0), datawizard (>= 0.4.0), graphics, methods,
stats, utils",NA,"BayesFactor, bayesQR, blavaan, bridgesampling, brms, dplyr,
effectsize, emmeans, gamm4, GGally, ggdist, ggplot2, ggridges,
glmmTMB, httr, KernSmooth, knitr, lavaan, lme4, logspline,
MASS, mclust, mediation, modelbased, parameters, patchwork,
performance, poorman, quadprog, posterior, rmarkdown, rstan,
rstanarm, see, spelling, stringr, testthat, tidyr, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"BB","BB","C:/Users/romai/AppData/Local/R/win-library/4.2","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"bbmle","bbmle","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.25",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"bdsmatrix","bdsmatrix","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3-4",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.2.0"
"beepr","beepr","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3",NA,NA,"stringr (>= 1.0.0), audio",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"beeswarm","beeswarm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"bench","bench","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.2",NA,"R (>= 3.1)","glue, methods, pillar, profmem, rlang (>= 0.2.0), stats,
tibble (>= 3.0.1), utils",NA,"covr, dplyr, forcats, ggbeeswarm, ggplot2, ggridges,
jsonlite, mockery, parallel, scales, testthat, tidyr (>=
0.8.1), vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"Bessel","Bessel","C:/Users/romai/AppData/Local/R/win-library/4.2","0.6-0",NA,NA,"methods, Rmpfr",NA,"gsl, sfsmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"betareg","betareg","C:/Users/romai/AppData/Local/R/win-library/4.2","3.1-4",NA,"R (>= 3.0.0)","graphics, grDevices, methods, stats, flexmix, Formula, lmtest,
modeltools, sandwich",NA,"car, lattice, partykit, strucchange",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"BH","BH","C:/Users/romai/AppData/Local/R/win-library/4.2","1.78.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.2.0"
"BiasedUrn","BiasedUrn","C:/Users/romai/AppData/Local/R/win-library/4.2","1.07",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bife","bife","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.1",NA,"R (>= 3.1.0)","data.table, Formula, Rcpp, stats","Rcpp, RcppArmadillo","alpaca, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"bigD","bigD","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.0",NA,"R (>= 3.2.0)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"biglm","biglm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.9-2.1",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.2.0"
"binGroup","binGroup","C:/Users/romai/AppData/Local/R/win-library/4.2","2.2-1",NA,NA,"graphics, partitions, Rdpack, stats, utils",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"BiocManager","BiocManager","C:/Users/romai/AppData/Local/R/win-library/4.2","1.30.18",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"bit","bit","C:/Users/romai/AppData/Local/R/win-library/4.2","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bit64","bit64","C:/Users/romai/AppData/Local/R/win-library/4.2","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"bitops","bitops","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"blavaan","blavaan","C:/Users/romai/AppData/Local/R/win-library/4.2","0.4-3",NA,"R(>= 3.5.0), methods, lavaan(>= 0.6-10), Rcpp(>= 0.12.15)","stats, utils, graphics, coda, mnormt, nonnest2(>= 0.5-5),
loo(>= 2.0), rstan(>= 2.21.2), rstantools(>= 1.5.0),
RcppParallel (>= 5.0.1), bayesplot, Matrix, future.apply,
tmvnsim","StanHeaders (>= 2.18.1), rstan (>= 2.21.2), BH (>= 1.69.0),
Rcpp (>= 0.12.15), RcppEigen (>= 0.3.3.4.0), RcppParallel (>=
5.0.1)","runjags(>= 2.0.4-4), modeest(>= 2.3.3), rjags, cmdstanr,
semTools, tinytest",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"blme","blme","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-5",NA,"R (>= 3.0-0), lme4 (>= 1.0-6)","methods, stats, utils",NA,"expint (>= 0.1-3), testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"blob","blob","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2.3",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"bookdown","bookdown","C:/Users/romai/AppData/Local/R/win-library/4.2","0.26",NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.31), rmarkdown (>= 2.13),
jquerylib, xfun (>= 0.29), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"boot","boot","C:/Users/romai/AppData/Local/R/win-library/4.2","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.2.0"
"BradleyTerry2","BradleyTerry2","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-2",NA,"R (>= 2.10)","brglm, gtools, lme4 (>= 1.0), qvcalc, stats",NA,"prefmod, testthat","gnm","GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"brew","brew","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0-7",NA,NA,NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"brglm","brglm","C:/Users/romai/AppData/Local/R/win-library/4.2","0.7.2",NA,"R (>= 2.6.0), profileModel",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"bridgesampling","bridgesampling","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1-2",NA,"R (>= 3.0.0)","mvtnorm, Matrix, Brobdingnag, stringr, coda, parallel, scales,
utils, methods",NA,"testthat, Rcpp, RcppEigen, R2jags, rjags, runjags, knitr,
rmarkdown, R.rsp, BayesFactor, rstan, rstanarm, nimble,
MCMCpack",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"brio","brio","C:/Users/romai/AppData/Local/R/win-library/4.2","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"brms","brms","C:/Users/romai/AppData/Local/R/win-library/4.2","2.17.0",NA,"R (>= 3.5.0), Rcpp (>= 0.12.0), methods","rstan (>= 2.19.2), ggplot2 (>= 2.0.0), loo (>= 2.3.1),
posterior (>= 1.0.0), Matrix (>= 1.1.1), mgcv (>= 1.8-13),
rstantools (>= 2.1.1), bayesplot (>= 1.5.0), shinystan (>=
2.4.0), bridgesampling (>= 0.3-0), glue (>= 1.3.0), future (>=
1.19.0), matrixStats, nleqslv, nlme, coda, abind, stats, utils,
parallel, grDevices, backports",NA,"testthat (>= 0.9.1), emmeans (>= 1.4.2), cmdstanr (>= 0.4.0),
projpred (>= 2.0.0), RWiener, rtdists, extraDistr, processx,
mice, spdep, mnormt, lme4, MCMCglmm, splines2, ape, arm,
statmod, digest, diffobj, R.rsp, gtable, shiny, knitr,
rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"Brobdingnag","Brobdingnag","C:/Users/romai/AppData/Local/R/win-library/4.2","1.2-7",NA,"R (>= 2.13.0), methods",NA,NA,"cubature",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"broom","broom","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.1",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0), ggplot2",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc,
irlba, interp, joineRML, Kendall, knitr, ks, Lahman, lavaan,
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, maptools, margins, MASS, mclust, mediation,
metafor, mfx, mgcv, mlogit, modeldata, modeltests, muhaz,
multcomp, network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA,
psych, quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.2"
"broom.helpers","broom.helpers","C:/Users/romai/AppData/Local/R/win-library/4.2","1.10.0",NA,"R (>= 3.4)","broom, cli, dplyr, labelled, lifecycle, purrr, rlang (>=
1.0.1), stats, stringr, tibble, tidyr",NA,"biglm, biglmm, brms (>= 2.13.0), broom.mixed, cmprsk, covr,
datasets, emmeans, fixest (>= 0.10.0), forcats, gam, gee,
geepack, ggplot2, glmmTMB, glue, gt, gtsummary, knitr, lavaan,
lfe, lme4 (>= 1.1.28), logitr (>= 0.8.0), MASS, mgcv, mice,
multgee, nnet, ordinal, parameters, parsnip, plm, rmarkdown,
rstanarm, spelling, survey, survival, testthat, tidycmprsk,
VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.2"
"broom.mixed","broom.mixed","C:/Users/romai/AppData/Local/R/win-library/4.2","0.2.9.4",NA,NA,"broom, coda, dplyr, forcats, methods, nlme, purrr, stringr,
tibble, tidyr, furrr",NA,"brms, dotwhisker, knitr, testthat, gamlss, gamlss.data,
ggplot2, GLMMadaptive, glmmADMB, glmmTMB, lmerTest, lme4,
Matrix, MCMCglmm, mgcv, pander, pbkrtest, rstan, rstanarm,
rstantools, R2jags, TMB, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"bslib","bslib","C:/Users/romai/AppData/Local/R/win-library/4.2","0.3.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"btergm","btergm","C:/Users/romai/AppData/Local/R/win-library/4.2","1.10.6",NA,"R (>= 3.5)","stats, utils, methods, graphics, network (>= 1.17.1), sna (>=
2.3.2), ergm (>= 4.0.1), parallel, Matrix (>= 1.3.2), boot (>=
1.3.17), coda (>= 0.18.1), ROCR (>= 1.0.7), speedglm (>=
0.3.1), igraph (>= 0.7.1), statnet.common (>= 4.5.0)",NA,"fastglm (>= 0.0.1), testthat, Bergm (>= 5.0.2), RSiena (>=
1.0.12.232), ggplot2 (>= 2.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"cachem","cachem","C:/Users/romai/AppData/Local/R/win-library/4.2","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"Cairo","Cairo","C:/Users/romai/AppData/Local/R/win-library/4.2","1.5-15",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"calibrate","calibrate","C:/Users/romai/AppData/Local/R/win-library/4.2","1.7.7",NA,"R (>= 3.5.0), MASS",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"callr","callr","C:/Users/romai/AppData/Local/R/win-library/4.2","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"car","car","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0-13",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"carData","carData","C:/Users/romai/AppData/Local/R/win-library/4.2","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
